DateTime,lp_value,validation_status,dayType,season
2021-03-14 08:00:00,1.65,VAL,Weekend,Winter
2021-03-14 18:00:00,0.948,VAL,Weekend,Winter
2021-03-13 22:00:00,0.331,VAL,Weekend,Winter
2021-03-15 10:00:00,0.782,VAL,Weekday,Winter
2021-03-15 20:00:00,1.094,VAL,Weekday,Winter
2021-03-16 09:00:00,0.693,VAL,Weekday,Winter
2021-03-16 16:00:00,1.181,VAL,Weekday,Winter
2021-03-16 01:00:00,0.121,VAL,Weekday,Winter
2021-03-14 23:00:00,0.367,VAL,Weekend,Winter
2021-03-15 19:00:00,1.945,VAL,Weekday,Winter
2021-03-16 21:00:00,1.725,VAL,Weekday,Winter
2021-03-14 15:00:00,0.77,VAL,Weekend,Winter
2021-03-14 20:00:00,0.527,VAL,Weekend,Winter
2021-03-14 00:00:00,0.441,VAL,Weekend,Winter
2021-03-16 13:00:00,0.867,VAL,Weekday,Winter
2021-03-17 17:00:00,0.394,VAL,Weekday,Winter
2021-01-02 07:00:00,0.158,VAL,Weekend,Winter
2021-03-15 16:00:00,1.077,VAL,Weekday,Winter
2021-03-14 12:00:00,0.67,VAL,Weekend,Winter
2021-03-15 18:00:00,0.765,VAL,Weekday,Winter
2021-03-17 06:00:00,0.402,VAL,Weekday,Winter
2021-03-14 09:00:00,2.948,VAL,Weekend,Winter
2021-03-17 19:00:00,0.42,VAL,Weekday,Winter
2021-03-14 19:00:00,0.824,VAL,Weekend,Winter
2021-03-15 05:00:00,0.152,VAL,Weekday,Winter
2021-03-14 03:00:00,0.19,VAL,Weekend,Winter
2021-01-02 06:00:00,0.249,VAL,null,Winter
2021-03-16 04:00:00,0.159,VAL,Weekday,Winter
2021-03-16 14:00:00,2.729,VAL,Weekday,Winter
2021-03-17 13:00:00,2.472,VAL,Weekday,Winter
2021-03-14 13:00:00,1.168,VAL,Weekend,Winter
2021-03-15 22:00:00,0.222,VAL,Weekday,Winter
2021-03-17 00:00:00,0.317,VAL,Weekday,Winter
2021-03-15 17:00:00,1.259,VAL,Weekday,Winter
2021-03-15 06:00:00,1.374,VAL,Weekday,Winter
2021-03-17 07:00:00,0.029,VAL,Weekday,Winter
2021-03-16 03:00:00,0.289,VAL,Weekday,Winter
2021-03-17 12:00:00,4.359,VAL,Weekday,Winter
2021-03-14 02:00:00,0.155,VAL,Weekend,Winter
2021-03-16 20:00:00,2.066,VAL,Weekday,Winter
2021-03-15 11:00:00,0.352,VAL,Weekday,Winter
2021-03-18 03:00:00,0.027,VAL,Weekday,Winter
2021-03-18 13:00:00,0.355,VAL,Weekday,Winter
2021-01-10 02:00:00,0.092,VAL,Weekend,Winter
2021-01-10 05:00:00,0.067,VAL,Weekend,Winter
2021-01-08 20:00:00,1.264,VAL,Weekday,Winter
2021-01-08 10:00:00,1.608,VAL,Weekday,Winter
2021-01-08 18:00:00,2.375,VAL,Weekday,Winter
2021-01-08 00:00:00,0.312,VAL,Weekday,Winter
2021-01-08 08:00:00,0.222,VAL,Weekday,Winter
2021-03-18 09:00:00,0.79,VAL,Weekday,Winter
2021-01-08 13:00:00,1.331,VAL,Weekday,Winter
2021-01-08 15:00:00,1.979,VAL,Weekday,Winter
2021-01-09 10:00:00,1.13,VAL,Weekend,Winter
2021-01-09 19:00:00,2.63,VAL,Weekend,Winter
2021-03-18 00:00:00,0.043,VAL,Weekday,Winter
2021-01-07 12:00:00,3.656,VAL,Weekday,Winter
2021-01-07 18:00:00,1.452,VAL,Weekday,Winter
2021-01-09 16:00:00,2.214,VAL,Weekend,Winter
2021-03-17 22:00:00,0.109,VAL,null,Winter
2021-01-09 13:00:00,0.169,VAL,Weekend,Winter
2021-01-07 20:00:00,2.564,VAL,Weekday,Winter
2021-03-18 06:00:00,1.063,VAL,Weekday,Winter
2021-01-07 15:00:00,0.525,VAL,Weekday,Winter
2021-01-10 08:00:00,1.826,VAL,Weekend,Winter
2021-01-09 08:00:00,0.325,VAL,Weekend,Winter
2021-03-18 08:00:00,0.415,VAL,Weekday,Winter
2021-01-09 21:00:00,0.69,VAL,Weekend,Winter
2021-01-08 12:00:00,2.17,VAL,Weekday,Winter
2021-01-08 22:00:00,0.15,VAL,Weekday,Winter
2021-01-07 13:00:00,1.746,VAL,Weekday,Winter
2021-01-07 07:00:00,0.183,VAL,Weekday,Winter
2021-01-08 06:00:00,0.21,VAL,Weekday,Winter
2021-01-08 16:00:00,2.284,VAL,Weekday,Winter
2021-01-10 04:00:00,0.205,VAL,Weekend,Winter
2021-01-09 04:00:00,0.044,VAL,Weekend,Winter
2021-01-09 14:00:00,0.854,VAL,Weekend,Winter
2021-01-07 14:00:00,0.712,VAL,Weekday,Winter
2021-03-18 02:00:00,0.062,VAL,Weekday,Winter
2021-03-18 12:00:00,0.46,VAL,Weekday,Winter
2021-01-08 23:00:00,0.351,VAL,Weekday,Winter
2021-01-08 05:00:00,0.271,VAL,Weekday,Winter
2021-01-09 20:00:00,2.362,VAL,Weekend,Winter
2021-01-09 09:00:00,0.935,VAL,Weekend,Winter
2021-01-09 15:00:00,2.14,VAL,Weekend,Winter
2021-01-08 11:00:00,2.043,VAL,Weekday,Winter
2021-01-07 08:00:00,1.407,VAL,Weekday,Winter
2021-01-08 17:00:00,2.264,VAL,Weekday,Winter
2021-03-18 01:00:00,0.041,VAL,Weekday,Winter
2021-01-09 03:00:00,0.113,VAL,Weekend,Winter
2021-01-10 03:00:00,0.024,VAL,Weekend,Winter
2021-01-08 04:00:00,0.412,VAL,Weekday,Winter
2021-01-07 09:00:00,2.116,VAL,Weekday,Winter
2021-01-07 19:00:00,1.32,VAL,Weekday,Winter
2021-01-10 09:00:00,2.284,VAL,Weekend,Winter
2021-03-18 07:00:00,0.673,VAL,Weekday,Winter
2021-01-07 11:00:00,1.848,VAL,Weekday,Winter
2021-01-07 01:00:00,0.134,VAL,Weekday,Winter
2021-01-07 21:00:00,1.975,VAL,Weekday,Winter
2021-01-09 22:00:00,0.282,VAL,Weekend,Winter
2021-01-09 07:00:00,1.375,VAL,Weekend,Winter
2021-01-09 17:00:00,2.047,VAL,Weekend,Winter
2021-01-07 06:00:00,0.12,VAL,Weekday,Winter
2021-01-09 02:00:00,0.305,VAL,Weekend,Winter
